Name
Ernesto Mejia
Jose Abreu
Miguel Cabrera
Paul Goldschmidt
Joey Votto
Edwin Encarnacion
Anthony Rizzo
Freddie Freeman
Lucas Duda
Adam Lind
Steve Pearce
Carlos Santana
Chris Davis
Mike Napoli
Justin Morneau
Mark Trumbo
Brandon Moss
Adam LaRoche
Prince Fielder
Albert Pujols
Eric Hosmer
Brandon Belt
Chris Carter
Adrian Gonzalez
Joe Mauer
Matt Adams
Yasmani Grandal
Mark Teixeira
Matthew Clark
Kyle Blanks
Jon Singleton
Matt McBride
Garrett Jones
Ben Paulsen
Mike Carp
Maikel Franco
Darin Ruf
Justin Smoak
Andy Wilkins
Ike Davis
Yonder Alonso
Nick Evans
Tyler Moore
Kyle Parker
Mark Reynolds
Allen Craig
Chris Parmelee
Tommy Medica
Ryan Howard
Logan Morrison
Dan Johnson
Adam Dunn
Mitch Moreland
Nick Swisher
Jason Rogers
Jake Goebbert
Shane Peterson
Eric Campbell
Christian Walker
Christian Walker
Gaby Sanchez
Nate Freiman
James Loney
Josh Satin
Chris Colabello
Daric Barton
Lyle Overbay
C.J. Cron
Jeff Baker
Justin Bour
Chris McGuiness
Brett Wallace
Stephen Vogt
Corban Joseph
Joey Terdoslavich
Brandon Laird
Clint Robinson
Xavier Scruggs
Juan Francisco
Sean Halton
Jesus Aguilar
Jesus Guzman
Ryan Rua
Chris Marrero
Adam Duvall
Brock Peterson
Carlos Pena
Neftali Soto
Travis Ishikawa
Chris Gimenez
Jordan Pacheco
Kevin Frandsen
Adam Rosales
Paul Konerko
Brayan Pena
Marc Krauss
Efren Navarro
Chris Valaika
Brad Snyder
Alex Liddi
Jack Hannahan
Ian Stewart
Blake Lalli
Greg Dobbs
Ryan Wheeler
Alex Gonzalez
