Name
Anthony Rendon
Robinson Cano
Neil Walker
Matt Carpenter
Ben Zobrist
Jose Altuve
Howie Kendrick
Mookie Betts
Ian Kinsler
Rougned Odor
Chase Utley
Dustin Pedroia
Scooter Gennett
Brian Dozier
Arismendy Alcantara
Daniel Murphy
Jason Kipnis
Javier Baez
Aaron Hill
Marcus Semien
Tommy La Stella
Jordany Valdespin
Derek Dietrich
Kolten Wong
DJ LeMahieu
Jedd Gyorko
Cord Phelps
Brandon Phillips
Daniel Descalso
Dee Gordon
Donnie Murphy
Jurickson Profar
Cristhian Adames
Dan Uggla
Jonathan Schoop
Alberto Callaspo
Corban Joseph
Dilson Herrera
Marco Scutaro
Brian Roberts
Jose Pirela
Jeff Keppinger
Jemile Weeks
Rickie Weeks
Cesar Hernandez
Gordon Beckham
Cliff Pennington
Brooks Conrad
Nick Franklin
Luis Sardinas
Christian Colon
Joe Panik
Omar Infante
Grant Green
Ryan Flaherty
Cole Figueroa
Johnny Giavotella
Willie Bloomquist
Freddy Galvis
Maicer Izturis
Ryan Roberts
Tyler Pastornicky
Greg Garcia
Logan Forsythe
Donovan Solano
Matt Duffy
Hernan Perez
Danny Espinosa
Emilio Bonifacio
Carlos Sanchez
Kevin Frandsen
Nick Punto
Logan Watkins
Tony Abreu
Skip Schumaker
Eric Sogard
Josh Rutledge
Steve Lombardozzi
Steve Tolleson
Darwin Barney
Jace Peterson
Ramon Santiago
Chris Valaika
Brandon Hicks
Phil Gosselin
Chone Figgins
Ramiro Pena
Tommy Field
Tim Beckham
Rafael Furcal
Kristopher Negron
Ryan Jackson
Pedro Ciriaco
Jonathan Herrera
Irving Falu
Brent Lillibridge
Tyler Greene
Munenori Kawasaki
Ehire Adrianza
Chris Getz
Ryan Goins
Andy Parrino
Leury Garcia
Mark Ellis
Alexi Casilla
Elliot Johnson
Angel Sanchez
Robert Andino
Nick Noonan
Guilder Rodriguez
Josh Wilson
