Name
Yasmany Tomas
Miguel Cabrera
Kris Bryant
Adrian Beltre
Anthony Rendon
Josh Donaldson
Ryan Zimmerman
Nolan Arenado
Todd Frazier
Chase Headley
Aramis Ramirez
Matt Carpenter
Pablo Sandoval
Manny Machado
Nick Castellanos
David Wright
Justin Turner
Josh Harrison
Evan Longoria
Kyle Seager
Lonnie Chisenhall
Eric Chavez
Trevor Plouffe
Pedro Alvarez
Xander Bogaerts
Luis Valbuena
Maikel Franco
Martin Prado
Mark Reynolds
Conor Gillaspie
Wilmer Flores
Brett Lawrie
Alex Rodriguez
Cody Asche
Marcus Semien
Jacob Lamb
Zach Lutz
David Freese
Eric Campbell
Garin Cecchini
Chris Johnson
Scott Sizemore
Josh Satin
Daniel Descalso
Mike Moustakas
Kelly Johnson
Donnie Murphy
Danny Valencia
Luis Jimenez
Casey McGehee
Juan Uribe
Alberto Callaspo
Charlie Culberson
Rafael Ynoa
Yangervis Solarte
Brock Holt
Mike Olt
Zelous Wheeler
Jeff Keppinger
Juan Francisco
Andy Marte
Christian Colon
Ryan Flaherty
Matt Davidson
David Adams
Chris Nelson
Freddy Galvis
Maicer Izturis
Matt Dominguez
Will Middlebrooks
Brandon Snyder
Andy LaRoche
Don Kelly
Mike Aviles
Kevin Kouzmanoff
Steve Tolleson
Jace Peterson
Ramon Santiago
Gregorio Petit
Chone Figgins
Ramiro Pena
Jimmy Paredes
Hector Gomez
Jose Iglesias
Cory Spangenberg
Jack Hannahan
Kristopher Negron
Ryan Jackson
Ian Stewart
Brent Morel
Joaquin Arias
Carlos Rivero
Brent Lillibridge
Reid Brignac
Pete Orr
Jayson Nix
Ryan Wheeler
Jeff Bianchi
Andres Blanco
Ed Lucas
Nick Noonan
Guilder Rodriguez
Paul Janish
John McDonald
Alex Gonzalez
